Job Title,Company Name,Location,Skills,Deadline,Original_Deadline
Technical Lead - System Services,WorldLink Communications,"Kantipath, Kathmandu","Hyper-V / Active Directory / File Services, Vcp / Mcse / Rhce / Ccna, Osi Tcp/Ip Model, Vsphere / Vcenter / Vsan","Apply Before: 6 days, 9 hours from now","apply before: 6 days, 9 hours from now"
Senior PHP / Laravel Developer,Nydoz Innovations,"New Baneshwor, Kathmandu","RDBMS, MySQL, OOP, RESTful API, Laravel Framework","Apply Before: 6 days, 9 hours from now","apply before: 6 days, 9 hours from now"
Software Support - Implementati…,CrossOver Nepal,Kathmandu,"Interpersonal Skills, Communication, Multitasking, Flexibility, Work Under Pressure","Apply Before: 6 days, 9 hours from now","apply before: 6 days, 9 hours from now"
Java Developer,,Lalitpur,"Hibernate, Critical Thinking, Creative Problem Solving, Docker Products, Amazon Web Services (Aws)","Apply Before: 6 days, 9 hours from now","apply before: 6 days, 9 hours from now"
Senior Back End Developer,GCG International,"Kathmandu, Bāgmatī, Nepal","Back-End Web Development, Computer Science, Databases, Database Administration, Front-End Development","Apply Before: 6 days, 9 hours from now","apply before: 6 days, 9 hours from now"
Information Technology Analyst,MK Computer Store,"Banepa, Bāgmatī, Nepal","Analytical Skills, Communication, Data Analysis, Databases, Information Technology","Apply Before: 6 days, 9 hours from now","apply before: 6 days, 9 hours from now"
Mid- level flutter developer,KahaApp,"Kathmandu, Bāgmatī, Nepal","Computer Engineering, Computer Science, Databases, Programming, Cascading Style Sheets (Css)","Apply Before: 6 days, 9 hours from now","apply before: 6 days, 9 hours from now"
Google Cloud Administrator - GC…,Neutroline Pvt Ltd,"Rupandehi District, Lumbiniī, Nepal","Cloud Administration, Computer Science, Communication, Application Security, Cloud Infrastructure","Apply Before: 6 days, 9 hours from now","apply before: 6 days, 9 hours from now"
CRM Developer (Zoho),SCSS Consulting,Nepal (Remote),"Customer Relationship Management (Crm), Hubspot, Cross-Functional Team Leadership, Business Requirements, Cloud Application Development","Apply Before: 6 days, 9 hours from now","apply before: 6 days, 9 hours from now"
Wordpress Developer,Avinto IT,Kathmandu,"Html, Elementor, Nepali Typing, Cascading Style Sheets (Css), Mysql","Apply Before: 6 days, 9 hours from now","apply before: 6 days, 9 hours from now"
Software Project Manager,Flaresight,Kathmandu,"Program Management, Agile Project Management, Project Management, Agile Methodologies, Project Planning","Apply Before: 6 days, 9 hours from now","apply before: 6 days, 9 hours from now"
Senior PHP/Laravel Developer,A Reputed IT Company,"Kathmandu, Bāgmatī, Nepal","Doctrine (Php), Php, Php Frameworks, Databases, Mysql","Apply Before: 6 days, 9 hours from now","apply before: 6 days, 9 hours from now"
QA Engineer,Houzz,Nepal,"Api Testing, Qa Engineering, Communication, Bug Tracking, Manual Testing","Apply Before: 6 days, 9 hours from now","apply before: 6 days, 9 hours from now"
Front-End Software Engineer,Houzz,Nepal,"Computer Engineering, Back-End Web Development, Computer Science, Cascading Style Sheets (Css), Front-End Development","Apply Before: 6 days, 9 hours from now","apply before: 6 days, 9 hours from now"
NodeJS Developer,EB Pearls,Kathmandu,"Mongodb, Node.Js, Nestjs, Graphql, Amazon Web Services (Aws)","Apply Before: 6 days, 9 hours from now","apply before: 6 days, 9 hours from now"
Associate DevOps Engineer,Hitachi Energy,Kathmandu,"Networking Technology, Continuous Integration (Ci), Proxy Server, High-Pressure Situations, Postgresql","Apply Before: 6 days, 9 hours from now","apply before: 6 days, 9 hours from now"
Python Developer,Morph2Cloud,Nepal (Remote),,"Apply Before: 6 days, 9 hours from now","apply before: 6 days, 9 hours from now"
Next.js Developer,WEN Solutions,Lalitpur,"Html, Debugging, Next.Js, Cascading Style Sheets (Css), Cross-Browser Compatibility","Apply Before: 6 days, 9 hours from now","apply before: 6 days, 9 hours from now"
Backend Engineer - Python & Nod…,Sunai,Kathmandu,"Django, Api Development, Nestjs, Functional Programming, Microservices",Apply Before: 1 week from now,apply before: 1 week from now
Senior Web Engineer,Generative Intelligence Pvt Ltd,"Kathmandu, Bāgmatī, Nepal","Artificial Intelligence (Ai), Knowledge Graphs, Software Development, Communication, Full-Stack Development",Apply Before: 1 week from now,apply before: 1 week from now
Java Software Engineer,Nepal Filili Tech PVT.LTD,Nepal (Remote),"Website Development, Problem Solving, Back-End, Java, Program Building",Apply Before: 1 week from now,apply before: 1 week from now
Wordpress Developer,Global Packaging Pvt Ltd,"Kathmandu, Bāgmatī, Nepal","Content Strategy, Blogging, Editorial, Content Development, Marketing Campaigns",Apply Before: 1 week from now,apply before: 1 week from now
